t,latitude,longitude,altitude
166.0,47.965633298136765,-81.84573271977602,6088.976752009362
167.0,47.965646628955525,-81.84517588089646,6091.529472020137
168.0,47.9657869901041,-81.84517640426596,6070.280061898191
169.0,47.96582130706984,-81.84575131122166,6027.792456486719
170.0,47.9659994302679,-81.84550318986935,5966.1262601410945
171.0,47.96578352827488,-81.8456615756376,5948.093342215924
172.0,47.965651891054264,-81.84575172212719,5913.866291141169
173.0,47.965824529072776,-81.84556627710478,5894.813393637539
174.0,47.965702936999996,-81.84586226298697,5852.823588489708
175.0,47.965941527450596,-81.84566475368666,5858.723164730769
176.0,47.96577563101541,-81.84562447492475,5796.7121406983515
177.0,47.9656161356399,-81.84601405865706,5778.396460019498
178.0,47.965813773944305,-81.84579126348294,5760.330581608464
179.0,47.96579605478548,-81.84577888057784,5714.30692965286
180.0,47.96607255832249,-81.84592758675775,5684.60136713246
181.0,47.96579951591755,-81.84608441323567,5673.810066316552
182.0,47.96598465299715,-81.84602656430569,5631.539467912814
183.0,47.96609524863831,-81.8460273071782,5571.079817526205
184.0,47.96587837413866,-81.8461386301694,5527.953916846869
185.0,47.96578388711507,-81.84596898710498,5485.284919044068
186.0,47.965905785893305,-81.84642852781062,5515.739759080493
187.0,47.96595724202297,-81.84610516284434,5476.119421309228
188.0,47.9658085672414,-81.84607495036654,5416.990834318181
189.0,47.96603438425427,-81.84621891314079,5396.788691735152
190.0,47.965771285694,-81.84646147736316,5363.898752092213
191.0,47.96603197463067,-81.84605289363022,5331.0073728873385
192.0,47.9659231760289,-81.84630926650418,5320.622447213858
193.0,47.965999770194166,-81.84638444416416,5267.313140845339
194.0,47.96619884355302,-81.84630411637157,5224.145304947757
195.0,47.96607071334908,-81.84649257263099,5213.749693929792
196.0,47.965992492879295,-81.84668484615709,5212.088828643722
197.0,47.96598206833266,-81.84683658683056,5191.030532944185
198.0,47.96609334028342,-81.84648496150015,5112.755950807679
199.0,47.9661086386048,-81.84653641096136,5127.65435566253
200.0,47.96608206170641,-81.84690702444884,5078.0269705777355
201.0,47.96603561981341,-81.84694526207014,5014.775015009057
202.0,47.96577827222083,-81.84652765442591,5020.7720872361815
203.0,47.96616991728778,-81.84696328878232,4996.00975976363
204.0,47.966069500670926,-81.84669428769246,4953.035258930338
205.0,47.96600344827948,-81.84668812387004,4882.109264289229
206.0,47.96599516165279,-81.84689988557818,4891.3528357265495
207.0,47.966049588884644,-81.84681266352565,4873.833467390116
208.0,47.966119952230336,-81.84707587957276,4837.3878295290515
209.0,47.96603268413799,-81.84695600215164,4790.260922459237
210.0,47.966109482527315,-81.84696315025354,4775.881474093782
211.0,47.966088691055255,-81.84700072014915,4741.094006020134
212.0,47.96615792780423,-81.84734111013191,4701.086238621301
213.0,47.96618003521528,-81.846970566912,4688.281240006091
214.0,47.96602510998947,-81.847254418809,4651.6924288811015
215.0,47.96624372638982,-81.84730922896442,4630.955753798179
216.0,47.966237385375905,-81.84723251887391,4633.803854701468
217.0,47.966148185685405,-81.8475167721275,4568.8981165560945
218.0,47.96606491183803,-81.84740617226733,4567.8294933063935
219.0,47.96619368476307,-81.84746767327741,4517.842255431425
220.0,47.966124506321414,-81.84749912718169,4494.869277979009
221.0,47.966078566092854,-81.84772301001567,4445.810881353335
222.0,47.966226868460346,-81.84782933602757,4431.833525957509
223.0,47.96645505473169,-81.84756897491856,4384.877690779983
224.0,47.966287946072356,-81.8476503979998,4398.781927313213
225.0,47.96620652941238,-81.84766024288854,4368.743757568085
226.0,47.96627338765917,-81.84740891672065,4295.104743146484
227.0,47.96615998134862,-81.84794058714873,4270.497473791872
228.0,47.966288949428794,-81.84779570173883,4255.079242797485
229.0,47.96641022730053,-81.84793289101346,4208.866396678295
230.0,47.966297485496845,-81.84782479916173,4156.2560714169
231.0,47.96636513412741,-81.84774863047247,4148.569048946928
232.0,47.96631937784864,-81.84823100224668,4146.963176585963
233.0,47.966228155301955,-81.84791868770928,4099.854914134037
234.0,47.96609527912085,-81.84838468877517,4094.4605907813375
235.0,47.96638371759892,-81.8479752386412,4028.3561560224066
236.0,47.966407370739624,-81.84801730672041,4026.2702884120786
237.0,47.96646302282845,-81.84811609502998,3989.6735308915813
238.0,47.9662859937063,-81.84832195435467,3993.8591405809966
239.0,47.96634843284112,-81.8481606368569,3912.008140615921
240.0,47.966405171168645,-81.84832576949388,3887.3407167293108
241.0,47.96642461782492,-81.84821065672939,3899.7423681256996
242.0,47.96622078068866,-81.84846089498059,3836.6311439757646
243.0,47.96623580449122,-81.84798696385762,3865.7821730439287
244.0,47.96635742747573,-81.84836202311108,3835.928923757481
245.0,47.96651137425776,-81.84870943863433,3787.1529031125674
246.0,47.96633595982243,-81.84845381328076,3742.839303229899
247.0,47.96651716929154,-81.84821257096235,3718.2500679532504
